cd_trans_type,label,stock,nonstock,domestic,foreign,benefit,type
CRNX,CORRECTED REPORT FOR DOMESTIC NON-STOCK CORPORATION,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CRSX,CORRECTED REPORT FOR DOMESTIC STOCK CORPORATION ,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CSCSS,CERTIFICATE OF SURRENDER FOR OTHER STOCK CORPORATIONS (CREDIT UNION),TRUE,FALSE,FALSE,FALSE,FALSE,CU
CUAN,CERTIFICATE OF AMENDMENT FOR OTHER NON STOCK CORPORATION (CREDIT UNION),FALSE,TRUE,FALSE,FALSE,FALSE,CU
CZLC,CERTIFICATE OF REINSTATEMENT FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
CZLCN,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC LIMITED LIABILITY COMPANY WITH NAME CHANGE ,FALSE,FALSE,TRUE,FALSE,FALSE,LLC
CZLP,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC LIMITED PARTNERSHIP WITHOUT NAME CHANGE ,FALSE,FALSE,TRUE,FALSE,FALSE,LLC
CZN,CERTIFICATE OF REINSTATEMENT FOR NON-STOCK CORPORATION (DOMESTIC),FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CZNN,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC NON-STOCK CORPORATION WITH NAME CHANGE ,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CZNPO,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC NON-STOCK AND FIRST ORGANIZATION & REPORT WITHOUT NAME CHANGE ,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CZNPON,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC NON-STOCK AND FIRST ORGANIZATION & REPORT WITH NAME CHANGE ,FALSE,TRUE,TRUE,FALSE,FALSE,CORP
CZS,CERTIFICATE OF REINSTATEMENT FOR STOCK CORPORATION (DOMESTIC),TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CZSN,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC STOCK CORPORATION WITHOUT NAME CHANGE ,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CZSPO,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC STOCK AND FIRST ORGANIZATION & REPORT WITHOUT NAME CHANGE ,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
CZSPON,CERTIFICATE OF REINSTATEMENT FOR DOMESTIC STOCK AND FIRST ORGANIZATION & REPORT WITH NAME CHANGE ,TRUE,FALSE,TRUE,FALSE,FALSE,CORP
GP,STATEMENT OF PARTNERSHIP AUTHORITY (GENERAL PARTNERSHIP) [PARTNERSHIP FORMATION],FALSE,FALSE,FALSE,FALSE,FALSE,GP
GPA,BUSINESS AMENDMENT FOR GENERAL PARTNERSHIP,FALSE,FALSE,FALSE,FALSE,FALSE,GP
GPC,STATEMENT OF CANCELLATION FOR GENERAL PARTNERSHIP,FALSE,FALSE,FALSE,FALSE,FALSE,GP
GPDIS,STATEMENT OF DISSOLUTION FOR GENERAL PARTNERSHIP,FALSE,FALSE,FALSE,FALSE,FALSE,GP
GPDISA,STATEMENT OF DISSOCIATION FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
IAS,INCORPORATION AMENDMENT OF A STOCK INSURANCE COMPANY,TRUE,FALSE,FALSE,FALSE,FALSE,INS
IN,BUSINESS FORMATION FOR DOMESTIC INSURANCE (NON-STOCK),FALSE,TRUE,TRUE,FALSE,FALSE,INS
IS,BUSINESS FORMATION FOR DOMESTIC INSURANCE (STOCK),TRUE,FALSE,TRUE,FALSE,FALSE,INS
LC,BUSINESS FORMATION FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCA,BUSINESS AMENDMENTS FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCAA,AGENT ADDRESS CHANGE FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCAC,AGENT CHANGE FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCACM,BUSINESS ADDRESS CHANGE FOR LIMITED LIABILITY COMPANY (DOMESTIC) ,FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCAR,RESIGNATION OF AGENT  FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCCO,CERTIFICATE OF CONSOLIDATION FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCD,BUSINESS DISSOLUTION FOR LIMITED LIABILITY COMPANY (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLC
LCF,BUSINESS FORMATION FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFA,BUSINESS AMENDMENTS FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFAA,AGENT ADDRESS CHANGE FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFAC,AGENT CHANGE FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFACM,BUSINESS ADDRESS CHANGE FOR LIMITED LIABILITY COMPANY (FOREIGN) ,FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFAR,RESIGNATION OF AGENT  FOR LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCFC,CERTIFICATE OF CANCELLATION FOR  LIMITED LIABILITY COMPANY (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LLC
LCINC,INTERIM NOTICE FOR LIMITED LIABILITY COMPANY (DOMESTIC OR FOREIGN),FALSE,FALSE,FALSE,FALSE,FALSE,LLC
LLP,BUSINESS FORMATION FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPA,BUSINESS AMENDMENT FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPAC,AGENT CHANGE  FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPACM,BUSINESS ADDRESS CHANGE FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC) ,FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPF,BUSINESS FORMATION FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFA,BUSINESS AMENDMENT FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFAA,AGENT ADDRESS CHANGE  FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFAC,AGENT CHANGE  FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFACM,BUSINESS ADDRESS CHANGE FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN) ,FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFAR,RESIGNATION OF AGENT FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPFW,CERTIFICATE OF WITHDRAWAL FOR LIMITED LIABILITY PARTNERSHIP (FOREIGN),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LLPM,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN LIMITED LIABILITY PARTNERSHIP ,FALSE,FALSE,TRUE,TRUE,FALSE,LLP
LLPR,RENUNCIATION OF STATUS REPORT FOR LIMITED LIABILITY PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LLP
LP,BUSINESS FORMATION FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPA,BUSINESS AMENDMENT  FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPAA,AGENT ADDRESS CHANGE  FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPAC,AGENT CHANGE  FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPACM,BUSINESS ADDRESS CHANGE FOR LIMITED PARTNERSHIP (DOMESTIC) ,FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPAR,RESIGNATION OF AGENT  FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPC,CERTIFICATE OF CANCELLATION  FOR LIMITED PARTNERSHIP (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,LP
LPF,BUSINESS FORMATION FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFA,BUSINESS AMENDMENT  FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFAA,AGENT ADDRESS CHANGE  FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFAC,AGENT CHANGE  FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFACM,BUSINESS ADDRESS CHANGE FOR LIMITED PARTNERSHIP (FOREIGN) ,FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFAR,RESIGNATION OF AGENT  FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
LPFC,CERTIFICATE OF CANCELLATION  FOR LIMITED PARTNERSHIP (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,LP
ST,BUSINESS FORMATION FOR STATUTORY TRUST (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STA,BUSINESS AMENDMENT FOR STATUTORY TRUST (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STAC,AGENT CHANGE FOR STATUTORY TRUST (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STACM,BUSINESS ADDRESS CHANGE FOR STATUTORY TRUST (DOMESTIC) ,FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STAR,RESIGNATION OF AGENT FOR STATUTORY TRUST (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STC,CERTIFICATE OF CANCELLATION FOR STATUTORY TRUST (DOMESTIC),FALSE,FALSE,TRUE,FALSE,FALSE,STAT
STF,BUSINESS FORMATION FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFA,BUSINESS AMENDMENT FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFAA,AGENT ADDRESS CHANGE FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFAC,AGENT CHANGE FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFACM,BUSINESS ADDRESS CHANGE FOR STATUTORY TRUST (FOREIGN) ,FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFAR,RESIGNATION OF AGENT FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STFC,CERTIFICATE OF CANCELLATION FOR STATUTORY TRUST (FOREIGN),FALSE,FALSE,FALSE,TRUE,FALSE,STAT
STM,CERTIFICATE OF MERGER FOR STATUTORY TRUST ,FALSE,FALSE,FALSE,FALSE,FALSE,STAT
CCNR,CANCELLATION OF NAME RESERVATION FOR ALL ENTITIES,FALSE,FALSE,TRUE,TRUE,TRUE,
ACM,"BUSINESS ADDRESS CHANGE FOR CORPORATIONS, LIMITED PARTNERSHIP, LIMITED LIABILITY COMPANY, LIMITED LIABILITY PARTNERSHIP, STATUTARY TRUST (DOMESTIC & FOREIGN) [INCLUDING BENEFIT CORPORATION]",FALSE,TRUE,TRUE,TRUE,TRUE,
XOVRB,TRANSACTION TYPE FOR OVERRIDE FILING IN LAGACY,FALSE,FALSE,FALSE,FALSE,FALSE,
RSHR,RETIREMENT OF SHARES,FALSE,FALSE,FALSE,FALSE,FALSE,
NOTC,BULK NOTICES ARE FILING FROM LEGACY APPLICATION AND THESE DETAILS ARE SHOWING IN ADMINSTRATIVE DISSOLUTION,FALSE,FALSE,FALSE,FALSE,FALSE,
MSC,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
MISC,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
LPM,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN NON LIMITED PARTNERSHIP ,FALSE,FALSE,TRUE,TRUE,FALSE,
LPLC,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN NON LIMITED PARTNERSHIP,FALSE,FALSE,FALSE,FALSE,FALSE,
LLPLC,ORGANIZATION,FALSE,FALSE,FALSE,FALSE,FALSE,
LFCAA,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
LFC,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
LFACM,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
LCM,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN NON LIMITED LIABILITY COMPANY ,FALSE,FALSE,TRUE,TRUE,FALSE,
IASC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
IANC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
GPCGPLP,STATEMENT OF CONVERSION FROM GENERAL PARTNERSHIP TO DOMESTIC LIMITED PARTNERSHIP,FALSE,FALSE,TRUE,FALSE,FALSE,
GPCGPLC,STATEMENT OF CONVERSION FROM GENERAL PARTNERSHIP TO DOMESTIC LIMITED LIABILITY COMPANY,FALSE,FALSE,TRUE,FALSE,FALSE,
FFTD,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
CXMB,MISCELLANEOUS,FALSE,FALSE,FALSE,FALSE,FALSE,
CVN,CONVERSION,FALSE,FALSE,FALSE,FALSE,FALSE,
CV,CONVERSION,FALSE,FALSE,FALSE,FALSE,FALSE,
CUANC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
CSES,SHARE EXCHANGE,FALSE,FALSE,FALSE,FALSE,FALSE,
CPCS,ADDITIONAL PRINCIPAL,FALSE,FALSE,FALSE,FALSE,FALSE,
CPCN,CEASE PRINCIPAL,FALSE,FALSE,FALSE,FALSE,FALSE,
COSCA,ORGANIZATION AND FIRST REPORT,FALSE,FALSE,FALSE,FALSE,FALSE,
COR,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
CNSL,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
CNRT,TRANSFER OF RESERVED NAME FOR ALL ENTITIES,FALSE,FALSE,FALSE,FALSE,FALSE,
CNR,NAME RESERVATION FOR ALL ENTITIES,FALSE,FALSE,FALSE,FALSE,FALSE,
CMSL,NOT PROVIDED,FALSE,FALSE,FALSE,FALSE,FALSE,
CMSC,MERGER,FALSE,FALSE,FALSE,FALSE,FALSE,
CMS,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN STOCK CORPORATION ,TRUE,FALSE,TRUE,TRUE,FALSE,
CMNC,MERGER,FALSE,FALSE,FALSE,FALSE,FALSE,
CMIS,MISCELLANEOUS,FALSE,FALSE,FALSE,FALSE,FALSE,
CISCS,CERTIFICATE OF CREDIT UNION FOR STOCK CORPORATION (IN LEGACY),TRUE,FALSE,FALSE,FALSE,FALSE,
CISCA,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
CICR,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
CICC,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
CFNC,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
CFN,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
CES,ADDITIONAL PRINCIPAL,FALSE,FALSE,FALSE,FALSE,FALSE,
CEN,ADDITIONAL PRINCIPAL,FALSE,FALSE,FALSE,FALSE,FALSE,
CDRSPO,DISSOLUTION,FALSE,FALSE,FALSE,FALSE,FALSE,
CDRNPO,DISSOLUTION,FALSE,FALSE,FALSE,FALSE,FALSE,
CDES,DISSOLUTION,FALSE,FALSE,FALSE,FALSE,FALSE,
CDEN,DISSOLUTION,FALSE,FALSE,FALSE,FALSE,FALSE,
CCSAO,CONSOLIDATION,FALSE,FALSE,FALSE,FALSE,FALSE,
CCSA,CONSOLIDATION,FALSE,FALSE,FALSE,FALSE,FALSE,
CCORS,CERTIFICATE OF CORRECTION FOR STOCK CORPORATIONS (DOMESTIC & FOREIGN),TRUE,FALSE,TRUE,TRUE,FALSE,
CCNAO,CONSOLIDATION,FALSE,FALSE,FALSE,FALSE,FALSE,
CCNA,CONSOLIDATION,FALSE,FALSE,FALSE,FALSE,FALSE,
CCAS,ABANDONMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
CCANL,CANCELLATION OF SHARES,FALSE,FALSE,FALSE,FALSE,FALSE,
CASC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
CANC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
BT,INCORPORATED,FALSE,FALSE,FALSE,FALSE,FALSE,
BRVKD,ON DEMAND BATCH PROGRAM FOR BULK FILING FOR REVOKED,FALSE,FALSE,FALSE,FALSE,FALSE,
BFFTD,ON DEMAND BATCH PROGRAM FOR BULK FILING FOR FORFEITED ,FALSE,FALSE,FALSE,FALSE,FALSE,
BASC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
BANC,AMENDMENT,FALSE,FALSE,FALSE,FALSE,FALSE,
BAADDR,BULK FILING CHANGE AGENT ADDRESS BATCH JOB,FALSE,FALSE,FALSE,FALSE,FALSE,
BAADD,AGENT ADDRESS CHANGE,FALSE,FALSE,FALSE,FALSE,FALSE,
CFRIN,CERTIFICATE OF RE-DOMESTICATION FOR NON-STOCK INSURANCE CHANGE FROM FOREIGN TO DOMESTIC,FALSE,TRUE,FALSE,FALSE,FALSE,INS
CISCN,CERTIFICATE OF CREDIT UNION FOR NON STOCK CORPORATION (IN LEGACY),FALSE,TRUE,FALSE,FALSE,FALSE,
CMN,CERTIFICATE OF MERGER FOR DOMESTIC & FOREIGN NON STOCK CORPORATION ,FALSE,TRUE,FALSE,FALSE,FALSE,
XPREBFALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
